name,class,subclass,tags,durability,strength,range,arrows,defense,defense_upgrade_lvl1,defense_upgrade_lvl2,defense_upgrade_lvl3,defense_upgrade_lvl4,bonus,description,selling_price,bonus_set,upgrade_1,upgrade_2,upgrade_3,upgrade_4,armor_upgrade,where_to_find,notes
Ancient Short Sword,Weapon,Light,,54,40,,,,,,,,,"The blade of this sword was made using an ancient power lost to this modern age. Its blade appears only when drawn, and its cutting power surpasses metal swords.",,,,,,,,,
Blizzard Rod,Weapon,Light,,32,10,,,,,,,,,A magical rod that can cast extreme cold in a wide range. These are crafted from refined ice found at the summit of Hebra Peak. It will break when depleted.,,,,,,,,,
Boko Club,Weapon,Light,,8,4,,,,,,,,,"A crude Bokoblin club made to clobber small prey. It's essentially a stick, so its durability is low.",,,,,,,,,
Bokoblin Arm,Weapon,Light,,5,5,,,,,,,,,"A skeletal arm that keeps moving even after it's severed from its body. It's kind of gross to strap it to your back, but it'll do in a pinch. It's old and fragile, so it's quick to break.",,,,,,,,,
Boomerang,Weapon,Light,,18,8,,,,,,,,,This throwing weapon was originally used by the forest-dwelling Koroks. Its unique shape allows it to return after being thrown.,,,,,,,,,
Demon Carver,Weapon,Light,,25,40,,,,,,,,,This lethal weapon is forged by the Yiga. Its unique shape facilitates the sound dispatching of any target and strikes fear into the hearts of all who see it.,,,,,,,,,
Dragonbone Boko Club,Weapon,Light,,18,24,,,,,,,,,This Bokoblin club has been reinforced with fossilized bones to maximize clobbering potential. Only the brawniest of Bokoblins can manage its immense weight.,,,,,,,,,
Eightfold Blade,Weapon,Light,,26,15,,,,,,,,,A single-edged sword traditional to the Sheikah tribe. Forged using ancient technology it just may be among the sharpest conventional weapons ever made.,,,,,,,,,
Fire Rod,Weapon,Light,,14,5,,,,,,,,,"A magical rod that can cast fireballs. The rod will break if it strikes something directly, so use it wisely.",,,,,,,,,
Fishing Harpoon,Weapon,Light,,12,8,,,,,,,,,A fisherman's tool that excels at catching large fish. Its particularly sharp spearhead makes it valuable as a weapon as well.,,,,,,,,,
Flameblade,Weapon,Light,,36,24,,,,,,,,,This magical sword was forged in the lava of Death Mountain. It leaves white-hot flames in its wake when the blade glows red.,,,,,,,,,
Forest Dweller's Sword,Weapon,Light,,27,22,,,,,,,,,"Koroks made this sword for Hylians. It's made of wood, so it isn't the best choice for head-on attacks. Its original intent was likely clearing vines to forge paths through forests.",,,,,,,,,
Frostblade,Weapon,Light,,30,20,,,,,,,,,"A magical sword forged in the frigid mountains of the Hebra region. When the blade glows blue, enemies struck by it will become frozen.",,,,,,,,,
Gerudo Scimitar,Weapon,Light,,23,16,,,,,,,,,"This common sword is often carried by Gerudo women for self-defense. Its short, curved blade is easily recognized.",,,,,,,,,
Goddess Sword,Weapon,Light,,45,28,,,,,,,,,"A sword said to have once belonged to a hero from the sky. Its blade houses the fire of the Goddess. When wielded, a strange yet heavenly breeze kicks up around you.",,,,,,,,,
Guardian Sword,Weapon,Light,,17,20,,,,,,,,,A sword often wielded by Guardian Scouts. Its blue energy blade is a product of ancient technology. It's not very durable.,,,,,,,,,
Guardian Sword+,Weapon,Light,,26,30,,,,,,,,,"This Guardian sword has enhanced power over the standard model. Its cutting capabilities are improved, and its durability has seen a slight uptick.",,,,,,,,,
Guardian Sword++,Weapon,Light,,32,40,,,,,,,,,"The abilities of this Guardian sword have been boosted to the maximum, as evidenced by its increase in size. It slices through armor like a hot knife through butter!",,,,,,,,,
Ice Rod,Weapon,Light,,14,5,,,,,,,,,A magical rod crafted from refined ice found in the Hebra Mountains. This rod can cast waves of freezing air. Great for magic—not so great for melee.,,,,,,,,,
Knight's Broadsword,Weapon,Light,,27,26,,,,,,,,,Knights of Hyrule once carried this sword. These days it's the weapon of choice for seasoned adventurers thanks to its ease of use and high attack power.,,,,,,,,,
Lightning Rod,Weapon,Light,,14,5,,,,,,,,,A magical rod that can shoot balls of electricity. Its gem contains lightning from the Hyrule Hills. It's not recommended to use as a melee weapon.,,,,,,,,,
Lizal Boomerang,Weapon,Light,,17,14,,,,,,,,,A curved sword favored by the Lizalfos. It can be used to attack directly or can be thrown like a boomerang.,,,,,,,,,
Lizal Forked Boomerang,Weapon,Light,,25,24,,,,,,,,,"Blue Lizalfos in particular like this weapon. It has one more blade than the Lizal boomerang to give it additional cutting power, and it still returns when thrown.",,,,,,,,,
Lizal Tri-Boomerang,Weapon,Light,,27,36,,,,,,,,,"More blades means more attack power! It can be used as a boomerang, but all those blades makes that a bit more dangerous. Carried by Black Lizalfos seasoned in battle.",,,,,,,,,
Lizalfos Arm,Weapon,Light,,8,12,,,,,,,,,"The arm of a Stalizalfos that continues to struggle even in death. It can be used as a weapon, but it's very brittle. You can feel it wiggling when you strap it to your back...",,,,,,,,,
Lynel Sword,Weapon,Light,,26,24,,,,,,,,,"This Lynel-made sword was designed with smashing in mind rather than slicing. It's on the heavy side compared to what Hylians are used to, but it's very strong.",,,,,,,,,
Master Sword,Weapon,Light,,,30,,,,,,,,,The Legendary sword that seals the darkness. Its blade gleams with a sacred luster that can oppose the Calamity. Only a hero chosen by the sword itself may wield it.,,,,,,,,,"The Master Sword does not break, but it does run out of energy. It takes 10 minutes to recharge. The Master Sword has an attack power of 30 which jumps to 60 when Link is fighting Calamity enemies. The weapon throw is replaced by a beam attack usable only when Link has full hearts. "
Meteor Rod,Weapon,Light,,32,10,,,,,,,,,"A magical rod that can cast three fireballs at once, crafted by an ancient magician. It will break upon running out of magical energy, so make it last!",,,,,,,,,
Mighty Lynel Sword,Weapon,Light,,32,36,,,,,,,,,This Lynel-made sword boasts more blades and more attack power. A skilled Lynel can draw this sword simply in passing and still cut a foe in two.,,,,,,,,,
Moonlight Scimitar,Weapon,Light,,32,25,,,,,,,,,Delicate Gerudo carvings decorate this curved sword. The engraved blade is extremely sharp. Apparently it once served ceremonial purposes in festivals.,,,,,,,,,
Royal Broadsword,Weapon,Light,,36,36,,,,,,,,,The Hyrulean royal family would award this sword to knights who achieved remarkable feats. A sword that balances strength and beauty as elegantly as this one is a rare find.,,,,,,,,,
Royal Guard's Sword,Weapon,Light,,14,48,,,,,,,,,"A Sheikah-made replica of the sword that seals the darkness. It was made with ancient technology to oppose the Great Calamity, but its low durability made it inefficient.",,,,,,,,,
Rusty Broadsword,Weapon,Light,,8,6,,,,,,,,,A rusty sword used ages ago by a skilled swordsman. It can do some damage in the right hands but also breaks quickly.,,,,,,,,,
Savage Lynel Sword,Weapon,Light,,41,58,,,,,,,,,"A brutal sword carried by white-haired Lynels. The savage blades are strong enough to cut down any foe, no matter how strong.",,,,,,,,,
Scimitar of the Seven,Weapon,Light,,60,32,,,,,,,,,"A famous sword once beloved by the Gerudo Champion Urbosa. It is said that when Urbosa swung this sword in battle, her movements resembled a beautiful dance.",,,,,,,,,
Sea-Breeze Boomerang,Weapon,Light,,20,20,,,,,,,,,A boomerang said to have been used by a hero who traveled the Great Sea. It smells faintly of salt water.,,,,,,,,,
Soldier's Broadsword,Weapon,Light,,25,14,,,,,,,,,A sword brandished by the soldiers who once protected Hyrule Castle. Its durable blade is well tuned for slaying monsters.,,,,,,,,,
Soup Ladle,Weapon,Light,,5,4,,,,,,,,,"A kitchen implement often used for serving delicious soups. It was carved from the wood of a sturdy tree, so it actually packs quite the wallop.",,,,,,,,,
Spiked Boko Club,Weapon,Light,,14,12,,,,,,,,,A reinforced Bokoblin club made to maximize damage. The sharpened bones jabbed into it make it a brutal weapon.,,,,,,,,,
Spring-Loaded Hammer,Weapon,Light,,80,1,,,,,,,,,"This strange hammer is one of Kilton's specialties. Being struck by it doesn't hurt much, but the fourth swing in a string of attacks will send the victim flying.",,,,,,,,,
Sword,Weapon,Light,,27,22,,,,,,,,,"A sword once wielded by a hero in an ancient age. When grasped, a strange sense of nostalgia washes over you. Take it when going alone would otherwise be dangerous.",,,,,,,,,
Thunderblade,Weapon,Light,,36,22,,,,,,,,,"A magical sword forged and refined by lightning from the Hyrule Hills. When the blade shines with a golden light, it will electrocute enemies struck by it.",,,,,,,,,
Thunderstorm Rod,Weapon,Light,,32,10,,,,,,,,,"A magical rod that can hurl three balls of electricity at once. Its gem contains electricity from the Hyrule Hills, and the rod will break when that electricity runs out.",,,,,,,,,
Torch,Weapon,Light,,8,2,,,,,,,,,"This torch will stay lit once ignited. If you put it away, the flame will be extinguished until you light it again.",,,,,,,,,
Traveler's Sword,Weapon,Light,,20,5,,,,,,,,,"A very common sword often kept by travelers to fend off small beasts. It's fairly durable, but a bit unreliable against monsters.",,,,,,,,,
Tree Branch,Weapon,Light,,4,2,,,,,,,,,"Wooden branches such as this are pretty common, but it's surprisingly well-balanced. It doesn't do much damage but can serve as a weapon in a pinch.",,,,,,,,,
Vicious Sickle,Weapon,Light,,14,16,,,,,,,,,A grim weapon favored by the Yiga. The half-moon shape of the blade allows for the rapid delivery of fatal wounds and serves as a symbol of their terror. Its durability is low.,,,,,,,,,
Zora Sword,Weapon,Light,,27,15,,,,,,,,,The ornamentation that adorns this blade is a traditional Zora design. It's forged from a very durable and rust-proof metal.,,,,,,,,,
Ancient Battle Axe,Weapon,Heavy,,15,30,,,,,,,,,"A weapon used by Guardian Scouts. Its unique blade was forged using ancient technology. Although powerful, its unusual shape causes it to break easily.",,,,,,,,,
Ancient Battle Axe+,Weapon,Heavy,,20,45,,,,,,,,,"This ancient battle axe's damage output has been increased to maximum. It's sharp enough to cut through almost anything, so it may have been used to forge new routes.",,,,,,,,,
Ancient Battle Axe++,Weapon,Heavy,,25,60,,,,,,,,,This ancient battle axe's damage output is scaled up to peak performance. Ancient technology makes it possible to enhance cutting power beyond metal weapons' limits.,,,,,,,,,
Ancient Bladesaw,Weapon,Heavy,,50,55,,,,,,,,,This two-handed sword was forged using ancient Sheikah technology. Its unique rotating blades give it impressive cutting power that will slice enemies to shreds.,,,,,,,,,
Biggoron's Sword,Weapon,Heavy,,60,50,,,,,,,,,A legendary greatsword forged by a Goron craftsman for a hero who traveled through time. The exceptionally sharp cutting edge is a testament to the craftsman's mastery.,,,,,,,,,
Boat Oar,Weapon,Heavy,,8,14,,,,,,,,,"Made for paddling boats, but it was made sturdy enough to fight strong currents. Maybe it's useful for self-defense in a pinch.",,,,,,,,,
Boko Bat,Weapon,Heavy,,12,6,,,,,,,,,"A clunky club made by a Bokoblin. If you swing it at an enemy's shield, it may be able to knock the shield out of your foe's hand.",,,,,,,,,
Boulder Breaker,Weapon,Heavy,mining,60,60,,,,,,,,,"This two-handed weapon was once wielded by the Goron Champion Daruk. Daruk made swinging it around look easy, but a Hylian would need an immense amount of strength.",,,,,,,,,
Cobble Crusher,Weapon,Heavy,mining,30,15,,,,,,,,,"A Goron-made two-handed weapon. It's made from thick, hard metal and has no cutting edge, so it relies on its sheer weight to crush all opponents.",,,,,,,,,
Double Axe,Weapon,Heavy,,52,18,,,,,,,,,"This double-sided axe was designed with fighting in mind. It's a bit unwieldy, so it requires a well-practiced technique to use efficiently.",,,,,,,,,
Dragonbone Boko Bat,Weapon,Heavy,,16,36,,,,,,,,,"Used by only the toughest Bokoblin warriors, this Boko bat has been fortified by fossilized bone. It boasts a high durability and is strong enough to beat down powerful foes.",,,,,,,,,
Dragonbone Moblin Club,Weapon,Heavy,,24,45,,,,,,,,,"The bone of an ancient beast has been affixed to this Moblin club, further increasing its damage. Moblins carrying these in battle are particularly dangerous.",,,,,,,,,
Drillshaft,Weapon,Heavy,mining,50,14,,,,,,,,,"Goron artisans used recycled metal to forge this weapon. The tip is made from an old excavation bore, which affords it unmatched piercing capabilities.",,,,,,,,,
Edge of Duality,Weapon,Heavy,,35,50,,,,,,,,,A curious double-edged sword crafted using Sheikah technology. It was originally made for Hyrulean knights unfamiliar with single-edged blades.,,,,,,,,,
Eightfold Longblade,Weapon,Heavy,,25,32,,,,,,,,,A single-edged sword seldom seen in Hyrule. This weapon is passed down through the Sheikah tribe and has an astonishingly sharp edge ideal for slicing.,,,,,,,,,
Farming Hoe,Weapon,Heavy,,6,16,,,,,,,,,"A farming tool primarily used for tilling fields. Its fine craftsmanship is sturdy enough to withstand backbreaking fieldwork, but its battle applications are untested.",,,,,,,,,
Feathered Edge,Weapon,Heavy,,27,15,,,,,,,,,"Rito craftsmen forged this lightweight, double-edge sword so Rito warriors could soar into battle unhindered by its weight.",,,,,,,,,
Fierce Deity Sword,Weapon,Heavy,,35,60,,,,,,,,,A peculiar greatsword allegedly used by a hero from a world in which the moon threatened to fall. It slashes wildly in battle as if possessed by a fierce deity.,,,,,,,,,
Giant Boomerang,Weapon,Heavy,,40,25,,,,,,,,,"This massive boomerang requires two hands. Originally used for hunting, it was modified for use as a weapon. The blades on the inner curves make it a bit tricky to wield.",,,,,,,,,
Golden Claymore,Weapon,Heavy,,30,28,,,,,,,,,Only the most talented Gerudo sword fighters carry this two-handed sword. It's actually much lighter than it appears and is surprisingly easy to wield.,,,,,,,,,
Great Flameblade,Weapon,Heavy,,50,34,,,,,,,,,This magic-infused greatsword was forged in the fires of Death Mountain by Goron smiths in an ancient age. Attack when the blade glows red to expel flames.,,,,,,,,,
Great Frostblade,Weapon,Heavy,,40,30,,,,,,,,,This magic-infused greatsword was forged by smelting ore found in the Hebra Mountains' permafrost. Attack when the blade glows blue to expel freezing air.,,,,,,,,,
Great Thunderblade,Weapon,Heavy,,50,32,,,,,,,,,This magic-infused greatsword was forged by the Hyrulean royal family using lightning from the Hyrule Hills. Attack when the blade glows golden to expel lightning.,,,,,,,,,
Iron Sledgehammer,Weapon,Heavy,mining,40,12,,,,,,,,,"This large iron sledgehammer was originally used for mining, but it works reasonably well as a weapon too.",,,,,,,,,
Knight's Claymore,Weapon,Heavy,,30,38,,,,,,,,,Only the most confident of Hyrule Castle's knights carried this two-handed sword. Its cutting edge is finely honed.,,,,,,,,,
Korok Leaf,Weapon,Heavy,,25,1,,,,,,,,,"A single swing of this giant, sturdy leaf can create a gust of wind strong enough to blow away light objects.",,,,,,,,,
Lynel Crusher,Weapon,Heavy,,20,36,,,,,,,,,"This two-handed weapon is favored by the Lynels. It may be more accurate to call it a lump of metal than a weapon, but if wielded by a Lynel, it can pound you into a fine dust.",,,,,,,,,
Mighty Lynel Crusher,Weapon,Heavy,,25,54,,,,,,,,,"This Lynel-made two-handed weapon has been reinforced to increase its durability and striking power. Its overwhelming heft will crush your foe, shield and all.",,,,,,,,,
Mighty Lynel Spear,Weapon,Heavy,,35,20,,,,,,,,,"The weight and cutting edge of this Lynel-made spear have both been enhanced. It's immensely heavy for a Hylian, but a Lynel can cleave through rock with a single swing.",,,,,,,,,
Moblin Arm,Weapon,Heavy,,5,15,,,,,,,,,A Moblin bone that continues to move even after being detached from its body. The bone is thick enough to be used as a weapon but is extremely brittle and easily broken.,,,,,,,,,
Moblin Club,Weapon,Heavy,,12,9,,,,,,,,,"A crudely fashioned club favored by Moblins. It's carved from a sturdy tree but is sloppily made, so it breaks easily.",,,,,,,,,
Royal Claymore,Weapon,Heavy,,40,52,,,,,,,,,A two-handed sword issued to the Hyrulean royal family's immediate guard detail. Its powerful strikes are said to crush an opponent's body and resolve alike.,,,,,,,,,
Royal Guard's Claymore,Weapon,Heavy,,15,72,,,,,,,,,"The Sheikah used the very essence of ancient technology to forge this greatsword. It was designed to oppose the Calamity, but its low durability made it impractical in battle.",,,,,,,,,
Rusty Claymore,Weapon,Heavy,,10,12,,,,,,,,,"A two-handed sword not properly cared for. Although it can be used as a weapon, its durability is very low. Don't expect it to last for more than a few strikes.",,,,,,,,,
Savage Lynel Crusher,Weapon,Heavy,,35,78,,,,,,,,,This Lynel-made two-handed weapon is immensely heavy thanks to a rare metal from Death Mountain's peak. The power of its downward swing is in a class all its own.,,,,,,,,,
Silver Longsword,Weapon,Heavy,,30,22,,,,,,,,,"Although the Zora prefer spears to swords, they made this two-handed weapon using a special metal. It found popularity among Hylians for its unique design.",,,,,,,,,
Soldier's Claymore,Weapon,Heavy,,25,20,,,,,,,,,A two-handed sword designed for combat. It's heavy and hard to use but has decent build quality and durability.,,,,,,,,,
Spiked Boko Bat,Weapon,Heavy,,12,18,,,,,,,,,"After much consideration by Bokoblins on how to improve the Boko bat, they simply attached sharp spikes to it. A skilled fighter can cause immense damage with this.",,,,,,,,,
Spiked Moblin Club,Weapon,Heavy,,18,27,,,,,,,,,Animal bone has been affixed to this Moblin club to greatly improve its damage.,,,,,,,,,
Stone Smasher,Weapon,Heavy,mining,40,42,,,,,,,,,"A two-handed weapon forged from a rare metal mined in Goron City. Its center of gravity is at its tip, so it uses centrifugal force and its sheer weight to smash opponents flat.",,,,,,,,,
Sword of the Six Sages,Weapon,Heavy,,50,48,,,,,,,,,The Six Sages are said to have forged this longsword to seal a demon king in the world where the hero fought against the beasts of twilight. The blade shines with a holy luster.,,,,,,,,,
Traveler's Claymore,Weapon,Heavy,,20,10,,,,,,,,,A basic two-handed sword often wielded by aspiring adventurers. Its immense weight can knock enemies' shields right out of their hands.,,,,,,,,,
Windcleaver,Weapon,Heavy,,25,40,,,,,,,,,"This sword is favored by high-ranking members of the Yiga. When wielded by a proficient fighter, its unique shape cleaves the very wind and creates a vacuum.",,,,,,,,,
Woodcutter's Axe,Weapon,Heavy,,47,3,,,,,,,,,"A woodcutter's tool of choice for felling trees. Its formidable weight and uneven balancing make it a slow, inefficient weapon.",,,,,,,,,
Ancient Spear,Weapon,Pole-arm,,50,30,,,,,,,,,This spear is the result of countless hours of research into the ancient technology used by Guardians. The glowing spearhead has high piercing potential.,,,,,,,,,
Boko Spear,Weapon,Pole-arm,,12,2,,,,,,,,,"A spear recklessly carved from a tree branch. Useful for skewering fish and meat, which can then be cooked over a flame. If it's close to breaking, consider throwing it.",,,,,,,,,
Ceremonial Trident,Weapon,Pole-arm,,40,14,,,,,,,,,"A spear modeled after the Lightscale Trident wielded by the Zora Champion Mipha. They may be identical in appearance, but this spear's strength and durability are inferior.",,,,,,,,,
Dragonbone Boko Spear,Weapon,Pole-arm,,20,12,,,,,,,,,This Boko spear has been strengthened with fossilized bones. The bones are positioned outward so the fangs bite at the opponent. Beware Bokoblins carrying this weapon.,,,,,,,,,
Dragonbone Moblin Spear,Weapon,Pole-arm,,25,15,,,,,,,,,"This spear is a fan favorite among Moblins. The spearhead is made from fossilized bones adorned with spikes, which greatly increases its stabbing power.",,,,,,,,,
Enhanced Lizal Spear,Weapon,Pole-arm,,22,12,,,,,,,,,"Judging by the harpoon-like spearhead of this Lizalfos-made spear, the Lizalfos use it for fishing as well as combat. Try not to get caught on the wrong end of its barbs.",,,,,,,,,
Farmer's Pitchfork,Weapon,Pole-arm,,12,2,,,,,,,,,A farming tool used to collect hay efficiently. It's light enough to be used by anyone. The four prongs are very sharp.,,,,,,,,,
Feathered Spear,Weapon,Pole-arm,,35,10,,,,,,,,,"Its lightweight design is a hallmark of Rito craftsmanship. It's made from light and sturdy materials, which afford Rito warriors ease of use during aerial combat.",,,,,,,,,
Flamespear,Weapon,Pole-arm,,50,24,,,,,,,,,A magical spear forged in the magma of Death Mountain. Attack when the blade glows to expel powerful flames.,,,,,,,,,
Forest Dweller's Spear,Weapon,Pole-arm,,35,11,,,,,,,,,"The Koroks made this spear for Hylians. The shaft is made from a light, sturdy wood, offering ease of use. The spearhead is made from a much harder wood, offering strength.",,,,,,,,,
Forked Lizal Spear,Weapon,Pole-arm,,28,18,,,,,,,,,"Skilled Lizalfos warriors tend to favor this spear. What it lacks in piercing power, it makes up for with the brutal wounds its dual ripping blades will inflict.",,,,,,,,,
Frostspear,Weapon,Pole-arm,,40,20,,,,,,,,,A magical spear forged from ancient ice taken from the Hebra Mountains. Attack when the blade glows blue to chill the air and freeze your foe.,,,,,,,,,
Gerudo Spear,Weapon,Pole-arm,,35,16,,,,,,,,,"This spear's center of gravity is in its tip, making it a bit unwieldy for the average fighter. But in the hands of a skilled Gerudo warrior, it's a weapon of reliable strength.",,,,,,,,,
Guardian Spear,Weapon,Pole-arm,,20,10,,,,,,,,,"Wielded by Guardian Scouts, this spear has a high piercing power and is a testament to the Sheikah's high level of technology. the spearhead appears only when brandished.",,,,,,,,,
Guardian Spear+,Weapon,Pole-arm,,25,15,,,,,,,,,"The tip of this Guardian spear has been enlarged and strengthened. It's a bit shorter than your average spear, perhaps to facilitate use in tight spaces.",,,,,,,,,
Guardian Spear++,Weapon,Pole-arm,,35,20,,,,,,,,,"This Guardian spear's output has been boosted to the maximum. The spearhead is designed for optimal stabbing, capable of easily piercing most armor.",,,,,,,,,
Knight's Halberd,Weapon,Pole-arm,,40,13,,,,,,,,,A spear used by knights adept in mounted combat. The spearhead is modeled after an axe.,,,,,,,,,
Lightscale Trident,Weapon,Pole-arm,,70,22,,,,,,,,,"A spear of peerless grace cherished by the Zora Champion Mipha. Although Mipha specialized in healing abilities, her spearmanship was in a class all its own.",,,,,,,,,
Lizal Spear,Weapon,Pole-arm,,18,7,,,,,,,,,"Judging by the harpoon-like spearhead of this Lizalfos-made spear, the Lizalfos use it for fishing as well as combat. Try not to get caught on the wrong end of its barbs.",,,,,,,,,
Lynel Spear,Weapon,Pole-arm,,25,14,,,,,,,,,"The crescent-shaped spearhead of this Lynel-made weapon gives it poor balance, making it difficult to wield. Lynels, however, can swing it effectively with a single hand.",,,,,,,,,
Moblin Spear,Weapon,Pole-arm,,15,4,,,,,,,,,"This wooden spear is most often used by Moblins. It's made from a hastily whittled tree, so its stabbing power and durability are both pretty low.",,,,,,,,,
Royal Guard's Spear,Weapon,Pole-arm,,15,32,,,,,,,,,"This Sheikah-made spear was created using ancient technology to combat the Calamity. Its attack power is very high, but a critical design flaw left it with poor durability.",,,,,,,,,
Royal Halberd,Weapon,Pole-arm,,50,26,,,,,,,,,This spear was issued to the knights who guarded Hyrule Castle's throne room. Its ornate design was applied by a craftsman in service to the royal family.,,,,,,,,,
Rusty Halberd,Weapon,Pole-arm,,15,5,,,,,,,,,"A rusty polearm likely used by knights from an age past. The spearhead is in bad shape due to prolonged exposure to the elements, so its durability is low.",,,,,,,,,
